“Day of year”,“High”,“low”,,,“Cum”,“precip or no precip”
1,44.1,33.1,0.07,0,0.07,1
2,41,28.2,0.01,0,0.01,1
3,44.1,39.9,0.89,0,0.89,1
4,48,33.1,0.06,0.01,0.07,1
5,34,27.1,0,0,0,0
6,31.1,24.3,0.06,1.1,1.16,1
7,24.3,17.2,0.53,7.01,7.54,1
8,22.1,13.1,0.01,0.2,0.21,1
9,20.1,11.1,0,0,0,0
10,39,16.2,0.14,0,0.14,1
11,55,39,0.09,0,0.09,1
12,61,41,0.15,0,0.15,1
13,57.9,25.2,0,0,0,0
14,31.1,18.1,0,0,0,0
15,37,27.1,0,0,0,0
16,42.1,23.2,0,0,0,0
17,42.1,32,0.3,0.01,0.31,1
18,39.9,32,0.36,0,0.36,1
19,46,31.1,0,0,0,0
20,39.9,34,0,0,0,0
21,55,37,0,0,0,0
22,48,39,0.06,0,0.06,1
23,39.9,35.1,0.31,0.01,0.32,1
24,42.1,35.1,1.09,0.01,1.1,1
25,44.1,36,0.02,0,0.02,1
26,51.1,37,0.05,0,0.05,1
27,44.1,36,0.01,0.01,0.02,1
28,39.9,32,0,0,0,0
29,43,30.2,0,0,0,0
30,36,24.3,0,0,0,0
31,28.2,20.1,0.06,0.59,0.65,1
32,43,27.1,0.05,0.79,0.84,1
33,39.9,29.1,0,0,0,0
34,33.1,25.2,0,0,0,0
35,33.1,21.2,0,0,0,0
36,44.1,26.2,0,0,0,0
37,39,32,0,0,0,0
38,37.9,33.1,0.44,1.18,1.62,1
39,52,25.2,0.02,0,0.02,1
40,39,11.1,1.25,10.91,12.16,1
41,25.2,11.1,0.01,0.01,0.02,1
42,30.2,15.3,0.21,3.19,3.4,1
43,35.1,19.2,0.77,1.5,2.27,1
44,34,24.3,0.09,2.2,2.29,1
45,34,22.1,0,0,0,0
46,39.9,27.1,0.22,0.12,0.34,1
47,35.1,27.1,0.07,1.61,1.68,1
48,41,23.2,0,0,0,0
49,48.9,26.2,0,0,0,0
50,59,39,0,0,0,0
51,48,33.1,0,0,0,0
52,39.9,30.2,0,0,0,0
53,55.9,37.9,0,0,0,0
54,68,39,0,0,0,0
55,73,46,0,0,0,0
56,69.1,48.9,0.1,0,0.1,1
57,48.9,32,0,0,0,0
58,55,30.2,0,0,0,0
59,51.1,39,0,0,0,0
60,63,48,0.02,0,0.02,1
61,57.9,31.1,0,0,0,0
62,36,20.1,0.01,0.12,0.13,1
63,21.2,10.2,0,0.01,0.01,1
64,32,9.1,0,0,0,0
65,37,16.2,0,0,0,0
66,48,30.2,0.02,0,0.02,1
