“Day of the year”,“High”,“low”,“Snow or not”
1,44.1,33.1,1
2,41,28.2,1
3,44.1,39.9,1
4,48,33.1,1
5,34,27.1,1
6,31.1,24.3,1
7,24.3,17.2,1
8,22.1,13.1,1
9,20.1,11.1,1
10,39,16.2,1
11,55,39,1
12,61,41,1
13,57.9,25.2,1
14,31.1,18.1,1
15,37,27.1,1
16,42.1,23.2,1
17,42.1,32,1
18,39.9,32,1
19,46,31.1,1
20,39.9,34,1
21,55,37,1
22,48,39,1
23,39.9,35.1,1
24,42.1,35.1,1
25,44.1,36,1
26,51.1,37,1
27,44.1,36,1
28,39.9,32,1
29,43,30.2,1
30,36,24.3,1
31,28.2,20.1,1
32,43,27.1,1
33,39.9,29.1,1
34,33.1,25.2,1
35,33.1,21.2,1
36,44.1,26.2,1
37,39,32,1
38,37.9,33.1,1
39,52,25.2,1
40,39,11.1,1
41,25.2,11.1,1
42,30.2,15.3,1
43,35.1,19.2,1
44,34,24.3,1
45,34,22.1,1
46,39.9,27.1,1
47,35.1,27.1,1
48,41,23.2,1
49,48.9,26.2,1
50,59,39,1
51,48,33.1,1
52,39.9,30.2,1
53,55.9,37.9,1
54,68,39,1
55,73,46,1
56,69.1,48.9,1
57,48.9,32,1
58,55,30.2,1
59,51.1,39,1
60,63,48,1
61,57.9,31.1,1
62,36,20.1,1
63,21.2,10.2,1
64,32,9.1,1
65,37,16.2,1
66,48,30.2,1
67,57,43,1
68,51.1,37.9,1
69,37.9,23.2,1
70,23.2,10.2,1
71,27.1,9.1,1
72,34,14.2,1
73,37.9,27.1,1
74,28.2,19.2,1
75,35.1,22.1,1
76,42.1,27.1,1
77,36,24.3,1
78,37.9,31.1,1
79,53.1,32,1
80,53.1,39.9,1
81,43,18.1,1
82,37.9,18.1,1
83,46.9,27.1,1
84,46.9,34,1
85,41,30.2,1
86,44.1,36,1
87,39.9,36,1
88,46.9,37,1
89,48,34,1
90,39.9,33.1,1
91,37.9,33.1,1
92,57,33.1,1
93,55,37.9,1
94,43,37.9,1
95,41,37,1
96,53.1,37,1
97,54,41,1
98,48.9,37.9,1
99,66,39.9,1
100,75.9,44.1,1
101,84,52,1
102,60.1,48,1
103,59,45,1
104,60.1,44.1,1
105,70,42.1,1
106,86,57,1
107,75,48.9,1
108,51.1,39,1
109,55.9,39,1
110,55,44.1,1
111,45,44.1,1
112,45,43,1
113,57.9,41,1
114,64,45,1
115,50,45,1
116,55.9,45,1
117,59,50,1
118,82,51.1,1
119,84,59,1
120,64,45,1
121,48,45,1
122,66,44.1,1
123,64,48.9,1
124,55.9,46,1
125,51.1,46.9,1
126,64.9,48.9,1
127,64,50,1
128,55,44.1,1
129,52,42.1,1
130,55,46.9,1
131,54,48,1
132,53.1,46.9,1
133,53.1,45,1
134,51.1,46,1
135,61,46.9,1
136,81,55,1
137,91.9,60.1,1
138,95,71.1,1
139,90,57.9,1
140,59,52,1
141,61,48,1
142,55.9,50,1
143,68,53.1,1
144,64,54,1
145,55,50,1
146,60.1,48.9,1
147,61,53.1,1
148,66.9,54,1
149,54,48.9,1
150,59,48.9,1
151,68,54,1
152,79,55.9,1
153,72,51.1,1
154,69.1,52,1
155,70,54,1
156,57,52,1
157,52,46.9,1
158,62.1,50,1
159,71.1,51.1,1
160,79,55,1
161,84.9,61,1
162,91.9,66,1
163,95,71.1,1
164,95,72,1
165,73,59,1
166,75,57,1
167,71.1,57,1
168,69.1,57.9,1
169,84,68,1
170,84.9,70,1
171,86,68,1
172,84,66.9,1
173,84,64.9,1
174,90,64.9,1
175,88,71.1,1
176,84.9,64.9,1
177,80.1,62.1,1
178,77,57.9,1
179,79,57.9,1
180,79,63,1
181,84,68,1
182,88,69.1,1
183,90,71.1,1
184,87.1,71.1,1
185,82,66.9,1
186,79,62.1,1
187,82.9,61,1
188,70,62.1,1
189,87.1,63,1
190,82.9,66,1
191,87.1,64.9,1
192,82.9,66.9,1
193,82,69.1,1
194,70,57.9,1
195,66.9,60.1,1
196,73,62.1,1
197,81,69.1,1
